Wer spielte den Paten im gleichnamigen Film von 1972?;Robert de Niro;Vito Corleone;Al Pacino;Marlon Brando;4
Wessen Karriere wurde durch den Erfolg von Pulp Fiction wiederbelebt?;Samuel L. Jackson;Quentin Tarantino;John Travolta;Bruce Willis;3
In welchem Film spielt Tom Hanks einen Vietnam-Veteranen und einen Garnelen-Fischer?;Road to Perdition;Forrest Gump;Der Soldat James Ryan;Catch Me If You Can;2
Wie ist der Name der Hauptfigur im Film Matrix?;Cypher;Neo;Morpheus;Agent Smith;2
Zu welcher Spezies gehört Chewbacca in den Star Wars Filmen?;Tusken;Sith;Jawa;Wookiee;4
Wessen Film-Karriere fing mit dem Film „Léon – Der Profi“ an?;Natalie Portman;Megan Fox;Milla Jovovich;Jean Reno;1
Welchen Gegenstand versucht Indiana Jones im Film „Jäger des verlorenen Schatzes“ zu finden?;Inka-Statue;Heilige Gral;Kristallschädel;Bundeslade;4
In welches Jahr reist der Terminator im ersten Film?;1984;1999;1994;1986;1
Welche Gabe hatte der Gefangene John Coffey im Film „The Green Mile“?;Krankheiten heilen;In die Zukunft zu schauen;Durch Wände gehen;Unsterblich sein;1
Welcher Film zählt laut vielen Leserumfragen als „schlechtester US-Film aller Zeiten“?;Glen or Glenda;Sharknado;Plan 9 from Outer Space;Star Wars: Episode I;3
Zu welchem Datum reisen Marty McFly und Doc Brown im Film „Zurück in die Zukunft 2“?;16.10.25;21.10.15;24.10.24;10.10.05;2
Wer ist der Lieblingskomponist von der Hauptfigur Ales im Film „A Clockwork Orange“?;Mozart;Vivaldi;Bach;Beethoven;4
Wie heißt der Schiffscomputer in Kubrick's Meisterwerk „2001 – Odyssee im Weltraum“?;COM 4000;HAL 9000;COM 1337;HAL 7000;2
Wie heißt das Raumschiff im ersten Alien-Film?;Weyland;Ripley;Sulaco;Nostromo;4
Wer spielte den „Großen Diktator“ im gleichnamigen Film von 1940?;Charles Chaplin;Spencer Tracy;Orson Welles;Humphrey Bogart;1
Was war der frühere Beruf vom Kopfgeldjäger Dr. King Schultz im Film „Django Unchained“?;Jurist;Landarzt;Zahnarzt;Chirurg;3
Wie heißt Simba's Vater im Film „Der König der Löwen“?;Timon;Rafiki;Mufasa;Zazu;3
Was passiert mit Jack Nicholson's Charakter am Ende des Films „The Shining“?;Er erfriert;Er fällt die Treppe runter;Er flüchtet;Er verirrt sich;1
Wer spielt die Hauptfigur im Film „Lawrence von Arabien“ aus dem Jahre 1962?;Anthony Quinn;Omar Sharif;Alec Guinness;Peter O'Toole;4
Wie stirbt die Hauptfigur William Wallace im Film „Braveheart“?;Vierteilung;Folter;Galgen;Enthauptung;4
Welcher Soldat nimmt sich im Film „Full Metal Jacket“ das Leben?;Private Joker;Private Paula;Sergeant Animal Mother;Sergeant Cowboy;2
Welches Tier tötet einige Ritter der Tafelrunde im Film „Die Ritter der Kokosnuss“?;Kaninchen;Drache;Taube;Wolf;1
Wer spielt Indy's Vater im Film „Indiana Jones und der letzte Kreuzzug“?;Sean Connery;Billy Connolly;Clint Eastwood;Christopher Lee;1
